"period","county","S_t","I_t","R_t","D_t","hours_st","hours_it","hours_rt","policy_var","c_st","c_it","c_rt","val_st","val_it","val_rt","Gamma_t","lambda_sbt","lambda_tau_t","C_cty","hours_cty","S_Agg","I_Agg","C_Agg","D_Agg","R_Agg","hours_Agg","S_baseline","I_baseline","C_baseline","hours_baseline"
1,1,0.999,0.001,0,0,0.332580295247198,0.333333333333333,0.333333333333333,0,3.32580295247198,2.66666666666667,3.33333333333333,1805.85969688563,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.300076078674287,-12.2268273470087,3.32514381618617,0.332581048285284,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
1,2,0.999,0.001,0,0,0.33259603014125,0.333333333333333,0.333333333333333,0,3.3259603014125,2.66666666666667,3.33333333333333,1805.60417681159,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.300074472039044,-11.9710510293218,3.32530100777775,0.332596767444442,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
1,3,0.999,0.001,0,0,0.332609595107229,0.333333333333333,0.333333333333333,0,3.32609595107229,2.66666666666667,3.33333333333333,1805.38390103548,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.300073087717816,-11.7505543572589,3.32543652178789,0.332610318845455,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
1,4,0.999,0.001,0,0,0.332621193594237,0.333333333333333,0.333333333333333,0,3.32621193594237,2.66666666666667,3.33333333333333,1805.19556323825,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.300071904616674,-11.5620276945998,3.3255523906731,0.332621905733976,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
1,5,0.999,0.001,0,0,0.332630983327022,0.333333333333333,0.333333333333333,0,3.32630983327022,2.66666666666667,3.33333333333333,1805.0366000743,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.300070906396463,-11.402905124042,3.32565019010362,0.332631685677028,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
1,6,0.999,0.001,0,0,0.332639087149178,0.333333333333333,0.333333333333333,0,3.32639087149178,2.66666666666667,3.33333333333333,1804.90501409607,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.300070080386804,-11.2711871940646,3.32573114728696,0.332639781395362,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
1,7,0.999,0.001,0,0,0.332645600468212,0.333333333333333,0.333333333333333,0,3.32645600468212,2.66666666666667,3.33333333333333,1804.79925519571,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.300069416691446,-11.1653222416836,3.32579621534411,0.332646288201077,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
1,8,0.999,0.001,0,0,0.332650596239262,0.333333333333333,0.333333333333333,0,3.32650596239262,2.66666666666667,3.33333333333333,1804.71813964573,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.300068907667879,-11.0841253518509,3.32584612309689,0.332651278976356,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
1,9,0.999,0.001,0,0,0.332654127963162,0.333333333333333,0.333333333333333,0,3.32654127963162,2.66666666666667,3.33333333333333,1804.6607949766,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.30006854792994,-11.0267231797566,3.32588140501866,0.332654807168533,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
1,10,0.999,0.001,0,0,0.332656232678658,0.333333333333333,0.333333333333333,0,3.32656232678658,2.66666666666667,3.33333333333333,1804.62662156602,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.300068333533677,-10.9925155015367,3.32590243112646,0.332656909779313,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
1,11,0.999,0.001,0,0,0.332656931880298,0.333333333333333,0.333333333333333,0,3.32656931880298,2.66666666666667,3.33333333333333,1804.61526890132,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.300068262315597,-10.9811514528896,3.32590941615085,0.332657608281751,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
1,12,0.999,0.001,0,0,0.332656232680744,0.333333333333333,0.333333333333333,0,3.32656232680744,2.66666666666667,3.33333333333333,1804.62662156494,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.300068333531845,-10.9925155004623,3.3259024311473,0.332656909781397,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
1,13,0.999,0.001,0,0,0.332654127963279,0.333333333333333,0.333333333333333,0,3.32654127963279,2.66666666666667,3.33333333333333,1804.66079497657,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.300068547929836,-11.0267231797272,3.32588140501982,0.332654807168649,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
1,14,0.999,0.001,0,0,0.332650596240989,0.333333333333333,0.333333333333333,0,3.32650596240989,2.66666666666667,3.33333333333333,1804.71813964489,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.300068907666359,-11.0841253510157,3.32584612311414,0.332651278978081,0.999,0.001,3.3256377101424,0,0,0.332630437680907,0.999,0.001,3.32725870750338,0.332792537417005
