region,R,mydate
Alabama,.95025295,30jul2020
Alabama,.94384938,31jul2020
Alabama,.93596953,01aug2020
Alabama,.92129683,02aug2020
Alabama,.90189958,03aug2020
Alabama,.87678683,04aug2020
Alabama,.84048617,05aug2020
Alabama,.8035453,06aug2020
Alabama,.77725023,07aug2020
Alabama,.77020854,08aug2020
Alabama,.78610861,09aug2020
Alabama,.82355309,10aug2020
Alabama,.8777712,11aug2020
Alabama,.94459605,12aug2020
Alabama,1.024552,13aug2020
Alabama,1.0905192,14aug2020
Alabama,1.1216204,15aug2020
Alabama,1.1322798,16aug2020
Alabama,1.1360674,17aug2020
Alabama,1.1427191,18aug2020
Alabama,1.1535455,19aug2020
Alabama,1.1565735,20aug2020
Alabama,1.1503167,21aug2020
Alabama,1.1331395,22aug2020
Alabama,1.1024476,23aug2020
Alabama,1.0607797,24aug2020
Alabama,1.024127,25aug2020
Alabama,.99640954,26aug2020
Alabama,.98514372,27aug2020
Alabama,.99954355,28aug2020
Alabama,1.0476049,29aug2020
Alabama,1.1201466,30aug2020
Alabama,1.2146089,31aug2020
Alabama,1.3046976,01sep2020
Alabama,1.3812301,02sep2020
Alabama,1.4320029,03sep2020
Alabama,1.4479264,04sep2020
Alabama,1.4310178,05sep2020
Alabama,1.3898371,06sep2020
Alabama,1.3283628,07sep2020
Alabama,1.249096,08sep2020
Alabama,1.1494963,09sep2020
Alabama,1.0251653,10sep2020
Alabama,.87806588,11sep2020
Alabama,.74640793,12sep2020
Alabama,.6225788,13sep2020
Alabama,.50431073,14sep2020
Alabama,.39205572,15sep2020
Alabama,.29389501,16sep2020
Alabama,.23037477,17sep2020
Alabama,.23405357,18sep2020
Alabama,.26724288,19sep2020
Alabama,.35892096,20sep2020
Alabama,.48292148,21sep2020
Alabama,.63535696,22sep2020
Alabama,.80482352,23sep2020
Alabama,.97176951,24sep2020
Alabama,1.1161944,25sep2020
Alabama,1.213387,26sep2020
Alabama,1.2442615,27sep2020
Alabama,1.242571,28sep2020
Alaska,,26jan2020
Alaska,,27jan2020
Alaska,,28jan2020
Alaska,,29jan2020
Alaska,,30jan2020
Alaska,,31jan2020
Alaska,,01feb2020
Alaska,,02feb2020
Alaska,,03feb2020
Alaska,,04feb2020
Alaska,,05feb2020
Alaska,,06feb2020
Alaska,,07feb2020
Alaska,,08feb2020
Alaska,,09feb2020
Alaska,,10feb2020
Alaska,,11feb2020
Alaska,,12feb2020
Alaska,,13feb2020
Alaska,,14feb2020
Alaska,,15feb2020
Alaska,,16feb2020
Alaska,,17feb2020
Alaska,,18feb2020
Alaska,,19feb2020
Alaska,,20feb2020
Alaska,,21feb2020
Alaska,,22feb2020
Alaska,,23feb2020
Alaska,,24feb2020
Alaska,,25feb2020
Alaska,,26feb2020
Alaska,,27feb2020
Alaska,,28feb2020
Alaska,,29feb2020
Alaska,,01mar2020
Alaska,,02mar2020
Alaska,,03mar2020
Alaska,,04mar2020
Alaska,,05mar2020
Alaska,,06mar2020
Alaska,,07mar2020
Alaska,,08mar2020
Alaska,,09mar2020
Alaska,,10mar2020
Alaska,,11mar2020
Alaska,,12mar2020
Alaska,,13mar2020
Alaska,,14mar2020
Alaska,,15mar2020
Alaska,,16mar2020
Alaska,,17mar2020
Alaska,,18mar2020
Alaska,,19mar2020
Alaska,,20mar2020
Alaska,,21mar2020
Alaska,,22mar2020
Alaska,,23mar2020
Alaska,,24mar2020
Alaska,,25mar2020
Alaska,,26mar2020
Alaska,,27mar2020
Alaska,,28mar2020
Alaska,,29mar2020
Alaska,,30mar2020
Alaska,,31mar2020
Alaska,,01apr2020
Alaska,,02apr2020
Alaska,,03apr2020
Alaska,,04apr2020
Alaska,,05apr2020
Alaska,,06apr2020
Alaska,,07apr2020
Alaska,,08apr2020
Alaska,,09apr2020
Alaska,,10apr2020
Alaska,,11apr2020
Alaska,,12apr2020
Alaska,,13apr2020
Alaska,,14apr2020
Alaska,,15apr2020
Alaska,,16apr2020
Alaska,,17apr2020
Alaska,,18apr2020
Alaska,,19apr2020
Alaska,,20apr2020
Alaska,,21apr2020
Alaska,,22apr2020
Alaska,,23apr2020
Alaska,,24apr2020
Alaska,,25apr2020
Alaska,,26apr2020
Alaska,,27apr2020
Alaska,,28apr2020
Alaska,,29apr2020
Alaska,,30apr2020
Alaska,,01may2020
Alaska,,02may2020
Alaska,,03may2020
Alaska,,04may2020
Alaska,,05may2020
Alaska,,06may2020
Alaska,,07may2020
Alaska,,08may2020
Alaska,,09may2020
Alaska,,10may2020
Alaska,,11may2020
Alaska,,12may2020
Alaska,,13may2020
Alaska,,14may2020
Alaska,,15may2020
Alaska,,16may2020
Alaska,,17may2020
Alaska,,18may2020
Alaska,,19may2020
Alaska,,20may2020
Alaska,,21may2020
Alaska,,22may2020
Alaska,,23may2020
Alaska,,24may2020
Alaska,,25may2020
Alaska,,26may2020
Alaska,,27may2020
Alaska,,28may2020
Alaska,,29may2020
Alaska,,30may2020
Alaska,,31may2020
Alaska,,01jun2020
Alaska,,02jun2020
Alaska,,03jun2020
Alaska,,04jun2020
Alaska,,05jun2020
Alaska,,06jun2020
Alaska,,07jun2020
Alaska,,08jun2020
Alaska,,09jun2020
Alaska,,10jun2020
Alaska,,11jun2020
Alaska,,12jun2020
Alaska,,13jun2020
Alaska,,14jun2020
Alaska,,15jun2020
Alaska,,16jun2020
Alaska,,17jun2020
Alaska,,18jun2020
Alaska,,19jun2020
Alaska,,20jun2020
Alaska,,21jun2020
Alaska,,22jun2020
Alaska,,23jun2020
Alaska,,24jun2020
Alaska,,25jun2020
Alaska,,26jun2020
Alaska,,27jun2020
Alaska,,28jun2020
Alaska,,29jun2020
Alaska,,30jun2020
Alaska,,01jul2020
Alaska,,02jul2020
Alaska,,03jul2020
Alaska,,04jul2020
Alaska,,05jul2020
Alaska,,06jul2020
Alaska,,07jul2020
Alaska,,08jul2020
Alaska,,09jul2020
Alaska,,10jul2020
Alaska,,11jul2020
Alaska,,12jul2020
Alaska,,13jul2020
Alaska,,14jul2020
Alaska,,15jul2020
Alaska,,16jul2020
Alaska,,17jul2020
Alaska,,18jul2020
Alaska,,19jul2020
Alaska,1.1040988,20jul2020
Alaska,1.0353612,21jul2020
Alaska,.95411408,22jul2020
Alaska,.87280315,23jul2020
Alaska,.80562258,24jul2020
Alaska,.73288375,25jul2020
Alaska,.67145234,26jul2020
Alaska,.62473768,27jul2020
Alaska,.59981298,28jul2020
Alaska,.60849059,29jul2020
Alaska,.66774583,30jul2020
Alaska,.76676232,31jul2020
Alaska,.91182494,01aug2020
Alaska,1.0686636,02aug2020
Alaska,1.2234521,03aug2020
Alaska,1.3626226,04aug2020
Alaska,1.4764143,05aug2020
Alaska,1.5341964,06aug2020
Alaska,1.544521,07aug2020
Alaska,1.539714,08aug2020
Alaska,1.5228267,09aug2020
Alaska,1.496019,10aug2020
Alaska,1.4606068,11aug2020
Alaska,1.417147,12aug2020
Alaska,1.3654958,13aug2020
Alaska,1.3174099,14aug2020
Alaska,1.2577392,15aug2020
Alaska,1.1846116,16aug2020
Alaska,1.1056641,17aug2020
Alaska,1.015862,18aug2020
Alaska,.91933298,19aug2020
Alaska,.80858654,20aug2020
Alaska,.70720345,21aug2020
Alaska,.62446737,22aug2020
Alaska,.56584573,23aug2020
Alaska,.52976197,24aug2020
Alaska,.51487499,25aug2020
Alaska,.51769561,26aug2020
Alaska,.54897779,27aug2020
Alaska,.58072877,28aug2020
Alaska,.58688962,29aug2020
Alaska,.57915485,30aug2020
Alaska,.55319875,31aug2020
Alaska,.56473774,01sep2020
Alaska,.63909811,02sep2020
Alaska,.80669361,03sep2020
Alaska,1.0138721,04sep2020
Alaska,1.2446163,05sep2020
Alaska,1.4381951,06sep2020
Alaska,1.6110499,07sep2020
Alaska,1.7216736,08sep2020
Alaska,1.7778178,09sep2020
Alaska,1.7928197,10sep2020
Alaska,1.7794259,11sep2020
Alaska,1.7473404,12sep2020
Alaska,1.7030259,13sep2020
Alaska,1.6503314,14sep2020
Alaska,1.5799462,15sep2020
Alaska,1.4959518,16sep2020
Alaska,1.3994144,17sep2020
Alaska,1.288763,18sep2020
Alaska,1.1596022,19sep2020
Alaska,1.0114877,20sep2020
Alaska,.86974496,21sep2020
Alaska,.72114688,22sep2020
Alaska,.58504397,23sep2020
Alaska,.45783758,24sep2020
Alaska,.34186527,25sep2020
Alaska,.24898598,26sep2020
Alaska,.20872962,27sep2020
Alaska,.2,28sep2020
Albania,,26jan2020
Albania,,27jan2020
Albania,,28jan2020
Albania,,29jan2020
Albania,,30jan2020
Albania,,31jan2020
Albania,,01feb2020
Albania,,02feb2020
Albania,,03feb2020
Albania,,04feb2020
Albania,,05feb2020
Albania,,06feb2020
Albania,,07feb2020
Albania,,08feb2020
